variant,seed,pipeline,lambda,lambda_role,F1_bp,F1_fm,ADD_bp,ADD_fm,n_detections,TP_bp,FP_bp,precision_bp,recall_bp,n_valid_drifts,e_pre_span,e_post,alarms_pre_change
abrupt_balanced,233227757,pht_arf_c1,15.0,grid,0.03436426116838488,0.03436426116838488,76.6,76.6,286,5,281,0.017482517482517484,1.0,5,0.41762240846934273,0.399558384205741,57
abrupt_balanced,398083709,pht_arf_c1,15.0,grid,0.030030030030030033,0.030030030030030033,41.0,41.0,328,5,323,0.01524390243902439,1.0,5,0.4071460079400088,0.4243927782828939,58
abrupt_balanced,536987301,pht_arf_c1,15.0,grid,0.030030030030030033,0.030030030030030033,76.6,76.6,328,5,323,0.01524390243902439,1.0,5,0.4202690780767534,0.4322379529809066,60
abrupt_balanced,569531098,pht_arf_c1,15.0,grid,0.03278688524590164,0.03278688524590164,18.2,18.2,300,5,295,0.016666666666666666,1.0,5,0.4269960299955889,0.4319522015846214,55
abrupt_balanced,570914454,pht_arf_c1,15.0,grid,0.030120481927710843,0.030120481927710843,26.8,26.8,327,5,322,0.01529051987767584,1.0,5,0.42567269519188355,0.415560462397714,64
abrupt_balanced,592703045,pht_arf_c1,15.0,grid,0.03496503496503497,0.03496503496503497,29.6,29.6,281,5,276,0.017793594306049824,1.0,5,0.3762681958535509,0.39472658786855436,47
abrupt_balanced,609942288,pht_arf_c1,15.0,grid,0.03205128205128205,0.03205128205128205,66.4,66.4,307,5,302,0.016286644951140065,1.0,5,0.4057123952359947,0.4099233666709962,55
abrupt_balanced,612016888,pht_arf_c1,15.0,grid,0.03333333333333333,0.03333333333333333,79.4,79.4,295,5,290,0.01694915254237288,1.0,5,0.41034406704896337,0.4069359657098324,58
abrupt_balanced,829139639,pht_arf_c1,15.0,grid,0.034722222222222224,0.034722222222222224,70.4,70.4,283,5,278,0.0176678445229682,1.0,5,0.39292015880017644,0.38342641901545654,51
abrupt_balanced,877132087,pht_arf_c1,15.0,grid,0.03424657534246575,0.03424657534246575,74.2,74.2,287,5,282,0.017421602787456445,1.0,5,0.4047198941332157,0.3976620340303936,54
abrupt_balanced,911875363,pht_arf_c1,15.0,grid,0.03257328990228013,0.03257328990228013,38.6,38.6,302,5,297,0.016556291390728478,1.0,5,0.4108954565505073,0.4029874009611638,59
