boundary_shift,seed,delta_e,tau_hat,tau_det,n_swaps_post,n_warnings_post
0.7157894736842105,95,0.096,83.0,95.0,1,1
0.7157894736842105,96,0.1,1108.0,159.0,1,1
0.7157894736842105,97,0.086,263.0,927.0,1,1
0.7157894736842105,98,0.016000000000000014,770.0,1919.0,1,1
0.7157894736842105,99,0.09200000000000001,1668.0,1535.0,1,1
0.7157894736842105,100,0.15000000000000002,179.0,191.0,1,1
0.9210526315789473,1,0.08,1086.0,2495.0,1,1
0.9210526315789473,2,0.086,1383.0,447.0,1,1
0.9210526315789473,3,0.08000000000000002,163.0,191.0,1,1
0.9210526315789473,4,0.12,142.0,159.0,1,1
0.9210526315789473,5,0.01200000000000001,1443.0,63.0,1,1
0.9210526315789473,6,0.13,58.0,95.0,1,1
0.9210526315789473,7,0.09200000000000001,90.0,127.0,1,1
0.9210526315789473,8,0.092,94.0,95.0,1,1
0.9210526315789473,9,0.09,1167.0,1215.0,1,1
0.9210526315789473,10,0.07200000000000001,1004.0,1535.0,1,1
0.9210526315789473,11,0.038000000000000006,672.0,63.0,1,1
0.9210526315789473,12,0.048,578.0,1695.0,1,1
0.9210526315789473,13,0.07200000000000001,102.0,127.0,1,1
0.9210526315789473,14,0.020000000000000004,830.0,2303.0,2,2
0.9210526315789473,15,0.09999999999999999,226.0,255.0,1,1
0.9210526315789473,16,0.01999999999999999,860.0,1759.0,1,1
0.9210526315789473,17,0.10800000000000001,164.0,191.0,1,1
0.9210526315789473,18,0.032,697.0,2719.0,1,1
0.9210526315789473,19,0.0040000000000000036,2955.0,3295.0,1,1
0.9210526315789473,20,-0.018000000000000002,574.0,2527.0,2,2
0.9210526315789473,21,0.098,230.0,191.0,1,1
0.9210526315789473,22,0.05399999999999999,1405.0,1599.0,1,1
0.9210526315789473,23,0.06599999999999999,790.0,1951.0,1,1
0.9210526315789473,24,0.10200000000000001,111.0,127.0,1,1
0.9210526315789473,25,0.07200000000000001,1183.0,3999.0,2,2
0.9210526315789473,26,0.032,1898.0,1791.0,1,1
0.9210526315789473,27,0.08600000000000002,109.0,127.0,1,1
0.9210526315789473,28,0.13,92.0,95.0,1,1
0.9210526315789473,29,0.114,85.0,95.0,1,1
0.9210526315789473,30,-0.03,830.0,1023.0,1,1
0.9210526315789473,31,0.122,105.0,127.0,1,1
0.9210526315789473,32,0.10999999999999999,114.0,127.0,1,1
0.9210526315789473,33,0.03599999999999999,570.0,63.0,1,1
0.9210526315789473,34,0.08199999999999999,1649.0,223.0,1,1
0.9210526315789473,35,-0.02800000000000001,778.0,575.0,1,1
0.9210526315789473,36,0.05199999999999999,736.0,1663.0,1,1
0.9210526315789473,37,0.1,62.0,95.0,1,1
0.9210526315789473,38,0.094,162.0,159.0,1,1
0.9210526315789473,39,0.074,569.0,95.0,1,1
0.9210526315789473,40,0.044,1228.0,1375.0,1,1
0.9210526315789473,41,-0.020000000000000018,676.0,1407.0,1,1
0.9210526315789473,42,0.04200000000000001,1140.0,1727.0,1,1
0.9210526315789473,43,-0.0059999999999999915,923.0,2623.0,1,1
0.9210526315789473,44,0.04999999999999999,924.0,31.0,1,1
0.9210526315789473,45,0.057999999999999996,58.0,63.0,1,1
0.9210526315789473,46,-0.0040000000000000036,853.0,2047.0,1,1
0.9210526315789473,47,0.10800000000000001,2286.0,415.0,1,1
0.9210526315789473,48,0.16799999999999998,143.0,127.0,1,1
0.9210526315789473,49,0.094,103.0,127.0,1,1
0.9210526315789473,50,0.118,2095.0,447.0,1,1
0.9210526315789473,51,0.07199999999999998,1082.0,991.0,1,1
0.9210526315789473,52,0.072,1433.0,3295.0,1,1
0.9210526315789473,53,0.03399999999999999,1829.0,1695.0,1,1
0.9210526315789473,54,0.12399999999999999,120.0,127.0,1,1
0.9210526315789473,55,0.024000000000000007,386.0,767.0,1,1
0.9210526315789473,56,0.052000000000000005,1000.0,2175.0,1,1
