delta_e,W_estimator,lambda,n,W_mean,mu,mu_W_mean,vacant_at_mean_W,bound_at_mean_W,frac_runs_vacant,bound_plugin
0.496355,tau_err(0.10),8.0,100,330.0,0.486355,160.52,True,1.0,1.0,1.0
0.496355,tau_err(0.10),15.0,100,330.0,0.486355,160.52,True,1.0,1.0,1.0
0.496355,tau_err(0.10),25.0,100,330.0,0.486355,160.52,True,1.0,1.0,1.0
0.496355,tau_err(0.10),50.0,100,330.0,0.486355,160.52,True,1.0,1.0,1.0
0.497661,tau_swap^(1/M),8.0,100,31.2,0.487661,15.21,True,1.0,1.0,1.0
0.497661,tau_swap^(1/M),15.0,100,31.2,0.487661,15.21,True,1.0,0.47,0.9838519117645962
0.497661,tau_swap^(1/M),25.0,100,31.2,0.487661,15.21,False,0.06683417005255338,0.04,0.3222723643141034
0.497661,tau_swap^(1/M),50.0,100,31.2,0.487661,15.21,False,6.141223861851243e-33,0.0,0.010000017603796986
0.497661,tau_erase (argmax A_unrefl),8.0,100,47.6,0.487661,23.22,True,1.0,1.0,1.0
0.497661,tau_erase (argmax A_unrefl),15.0,100,47.6,0.487661,23.22,True,1.0,0.88,1.0
0.497661,tau_erase (argmax A_unrefl),25.0,100,47.6,0.487661,23.22,False,1.0,0.26,0.8328140611902239
0.497661,tau_erase (argmax A_unrefl),50.0,100,47.6,0.487661,23.22,False,3.902948898427917e-12,0.02,0.09039636343790441
0.497661,tau_err(0.10),8.0,100,329.5,0.487661,160.7,True,1.0,1.0,1.0
0.497661,tau_err(0.10),15.0,100,329.5,0.487661,160.7,True,1.0,1.0,1.0
0.497661,tau_err(0.10),25.0,100,329.5,0.487661,160.7,True,1.0,1.0,1.0
0.497661,tau_err(0.10),50.0,100,329.5,0.487661,160.7,True,1.0,1.0,1.0
