Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,24
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,24
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,24
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,24
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,24
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,25
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,25
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,25
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,25
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,25
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,25
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,25
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,25
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,25
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,25
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,25
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,25
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,26
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,26
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,26
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,26
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,26
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,26
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,26
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,26
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,26
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,26
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,26
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,26
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,27
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,27
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,27
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,27
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,27
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,27
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,27
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,27
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,27
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,27
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,27
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,27
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,28
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,28
