seed,delta_e,tau_arf
2481404281,0.2,137
3605935409,0.2,108
1724216363,0.2,154
3705963873,0.2,75
3077038052,0.2,202
3012538924,0.2,117
339579960,0.2,196
3595527923,0.2,90
863450078,0.2,184
1293846983,0.2,12
297175216,0.2,95
1619853330,0.2,138
1315304267,0.2,420
3174143715,0.2,141
1039824701,0.2,87
721441559,0.2,138
4105799406,0.2,82
1633137197,0.2,112
1521883525,0.2,2
3988848284,0.2,200
2356674901,0.2,428
3622559309,0.2,793
855568988,0.2,3
2610361744,0.2,169
3797455899,0.2,432
3701701166,0.2,84
1820757617,0.2,190
3255375637,0.2,412
1973362254,0.2,168
817567550,0.2,203
3034277235,0.2,340
422340604,0.2,312
2537213971,0.2,60
2777209301,0.2,6
3393578195,0.2,86
968986378,0.2,203
688328363,0.2,106
4152859901,0.2,234
1795468969,0.2,224
2590496957,0.2,224
3299187091,0.2,184
1977285233,0.2,58
2229299064,0.2,108
621973311,0.2,450
3137073118,0.2,179
1722482046,0.2,332
2843863878,0.2,78
