seed,delta_e,tau_arf
7356014,0.14,350
1854214563,0.14,389
3246756741,0.14,967
4269520782,0.14,83
3093880402,0.14,348
721312908,0.14,345
2185234596,0.14,270
1811372632,0.14,1
158871473,0.14,124
3933942357,0.14,1
2247311752,0.14,233
2639539135,0.14,536
588020478,0.14,694
2481404281,0.14,5
3605935409,0.14,394
1724216363,0.14,521
3705963873,0.14,4
3077038052,0.14,170
3012538924,0.14,181
339579960,0.14,347
3595527923,0.14,224
863450078,0.14,170
1293846983,0.14,717
297175216,0.14,375
1619853330,0.14,304
1315304267,0.14,260
3174143715,0.14,516
1039824701,0.14,318
721441559,0.14,144
4105799406,0.14,285
1633137197,0.14,163
1521883525,0.14,406
3988848284,0.14,536
2356674901,0.14,516
3622559309,0.14,183
855568988,0.14,275
2610361744,0.14,768
3797455899,0.14,999
3701701166,0.14,423
1820757617,0.14,471
3255375637,0.14,825
1973362254,0.14,346
817567550,0.14,666
3034277235,0.14,548
422340604,0.14,348
2537213971,0.14,914
2777209301,0.14,248
3393578195,0.14,195
968986378,0.14,159
688328363,0.14,231
4152859901,0.14,113
1795468969,0.14,606
2590496957,0.14,561
3299187091,0.14,869
1977285233,0.14,244
2229299064,0.14,560
621973311,0.14,30
3137073118,0.14,255
1722482046,0.14,250
2843863878,0.14,326
3220027874,0.14,473
2854411774,0.14,381
656915034,0.14,578
3284494407,0.14,498
1067328885,0.14,119
2684470948,0.16,553
4091952314,0.16,1169
233227757,0.16,1030
3276785861,0.16,665
3644269654,0.16,233
1206282609,0.16,287
3543069911,0.16,892
3479688010,0.16,309
877132087,0.16,233
1244265337,0.16,304
2740186692,0.16,930
3884972972,0.16,160
829139639,0.16,285
2545567356,0.16,154
2718398101,0.16,840
176092387,0.16,676
3528048386,0.16,156
569531098,0.16,888
1337295874,0.16,121
612016888,0.16,157
232150720,0.16,279
2324106676,0.16,670
1658700540,0.16,310
609942288,0.16,153
3405943863,0.16,603
2257503667,0.16,475
4018327298,0.16,194
2224437599,0.16,703
168388230,0.16,276
911875363,0.16,85
3699796293,0.16,1088
3195154224,0.16,574
3621210587,0.16,19
1945778437,0.16,893
2384190687,0.16,282
3249086786,0.16,116
439485575,0.16,184
2217192537,0.16,137
3412522237,0.16,207
555567425,0.16,299
3399977417,0.16,306
2903099886,0.16,145
151712926,0.16,297
1207582415,0.16,578
2486821540,0.16,277
1259821421,0.16,197
597594931,0.16,1073
2865206418,0.16,113
3003750881,0.16,377
3312495928,0.16,188
3078168926,0.16,213
1005097259,0.16,568
1646080115,0.16,475
2175304393,0.16,186
3907648593,0.16,344
1971688097,0.16,473
268300483,0.16,135
3139098279,0.16,565
3174456534,0.16,765
997026310,0.16,188
4280428995,0.16,171
345698675,0.16,141
2296661869,0.16,12
1808063307,0.16,135
3884888703,0.16,138
2494461129,0.16,204
3862701690,0.16,418
1989052338,0.16,104
2910179760,0.16,306
1983180500,0.16,207
2796940620,0.16,213
2835193311,0.16,361
1671370085,0.16,313
3953588250,0.16,612
358542842,0.16,67
3497188667,0.16,120
253549709,0.16,210
1953331372,0.16,142
890775398,0.16,801
642810498,0.16,863
1233062494,0.16,139
908446902,0.16,456
3109591194,0.16,300
2446198906,0.16,8
3358664237,0.16,143
896344283,0.16,221
1869944201,0.16,358
3190319407,0.16,141
987968938,0.16,82
48960437,0.16,123
2405484524,0.16,168
3763400334,0.16,231
4209925572,0.16,135
4172993659,0.16,253
2147595062,0.16,713
3425188374,0.16,234
3309235867,0.16,167
3869940862,0.16,199
3445858407,0.16,348
683688611,0.16,484
3671515462,0.16,219
3027130951,0.16,72
3369736057,0.16,336
1655287705,0.16,333
3004971955,0.16,316
1256815592,0.16,110
267482411,0.16,218
2210323869,0.16,211
3218958405,0.16,113
3163371865,0.16,194
1394697297,0.16,745
4178031102,0.16,220
643453088,0.16,56
3249835323,0.16,130
349764347,0.16,85
317791015,0.16,129
4067508317,0.16,146
2385507088,0.16,572
1526028037,0.16,154
297824171,0.16,617
1353143832,0.16,341
1739382006,0.16,144
580680804,0.16,281
2823014988,0.16,914
3517474495,0.16,373
1323262800,0.16,318
975802718,0.16,169
2199045525,0.16,151
1193102617,0.16,221
884894373,0.16,299
3411013638,0.16,397
805745625,0.16,270
3780170430,0.16,338
3127142703,0.16,9
2145807442,0.16,998
7356014,0.16,190
1854214563,0.16,325
3246756741,0.16,452
4269520782,0.16,90
3093880402,0.16,303
721312908,0.16,301
2185234596,0.16,315
1811372632,0.16,1
158871473,0.16,119
3933942357,0.16,1
2247311752,0.16,150
2639539135,0.16,580
588020478,0.16,567
2481404281,0.16,5
3605935409,0.16,497
1724216363,0.16,347
3705963873,0.16,4
3077038052,0.16,132
3012538924,0.16,172
339579960,0.16,356
3595527923,0.16,146
863450078,0.16,106
1293846983,0.16,456
297175216,0.16,239
1619853330,0.16,234
1315304267,0.16,430
3174143715,0.16,297
1039824701,0.16,205
721441559,0.16,132
4105799406,0.16,259
1633137197,0.16,192
1521883525,0.16,246
3988848284,0.16,392
2356674901,0.16,272
3622559309,0.16,126
855568988,0.16,116
2610361744,0.16,632
3797455899,0.16,25
3701701166,0.16,207
1820757617,0.16,187
3255375637,0.16,789
1973362254,0.16,601
817567550,0.16,613
3034277235,0.16,689
422340604,0.16,298
2537213971,0.16,318
2777209301,0.16,127
3393578195,0.16,173
968986378,0.16,257
688328363,0.16,100
4152859901,0.16,101
